4/1/06,0
4/2/06,0
4/3/06,0
4/4/06,1
4/5/06,0
4/6/06,0
4/7/06,0
4/8/06,0
4/9/06,0
4/10/06,1
4/11/06,0
4/12/06,1
4/13/06,0
4/14/06,19
4/15/06,7
4/16/06,4
4/17/06,2
4/18/06,0
4/19/06,2
4/20/06,1
4/21/06,3
4/22/06,2
4/23/06,3
4/24/06,3
4/25/06,7
4/26/06,1
4/27/06,5
4/28/06,0
4/29/06,0
4/30/06,0
5/1/06,4
5/2/06,0
5/3/06,4
5/4/06,0
5/5/06,0
5/6/06,0
5/7/06,1
5/8/06,0
5/9/06,0
5/10/06,3
5/11/06,1
5/12/06,1
5/13/06,0
5/14/06,0
5/15/06,1
5/16/06,1
5/17/06,3
5/18/06,0
5/19/06,0
5/20/06,0
5/21/06,0
5/22/06,0
5/23/06,3
5/24/06,0
5/25/06,0
5/26/06,0
5/27/06,0
5/28/06,0
5/29/06,0
5/30/06,0
5/31/06,0
